Juge;Produit;Seance;Odeur de cacao;Odeur de lait;Saveur sucree;Saveur acide;Saveur amere;Arome de cacao;Arome de lait;Arome de caramel;Arome de vanille;Astringence;Croquant;Fondant;Collant;Granuleux
11;Ethiquable_70;1;7;3;5;3;4;5;3;1;1;6;7;3;4;1
11;Lindt_70;1;6;4;6;1;3;7;4;1;3;3;9;2;3;1
11;Repere_72;1;3;7;5;1;5;4;6;2;1;6;5;5;6;1
11;Repere_85;1;6;2;1;1;10;9;1;1;1;7;9;2;3;1
11;Ethiquable_75;1;6;4;4;1;6;7;3;1;1;3;5;4;5;1
11;Lindt_85;1;8;2;1;1;9;2;1;1;1;8;7;3;4;2
11;Nestle_70;1;6;3;6;1;4;6;3;1;1;3;4;5;6;1
11;Lindt_78;1;8;3;1;1;9;7;1;1;1;5;7;4;3;1
12;Lindt_85;1;9;1;4;3;9;7;1;1;1;8;9;7;1;3
12;Nestle_70;1;6;5;8;3;4;6;8;1;1;4;7;8;2;2
12;Repere_85;1;8;7;7;4;7;8;5;6;2;6;10;4;5;3
12;Ethiquable_75;1;6;9;10;3;8;8;8;8;7;4;5;7;2;2
12;Lindt_70;1;4;9;5;2;2;4;8;1;1;1;6;8;1;1
12;Repere_72;1;7;10;3;4;5;5;7;5;6;7;4;5;6;4
12;Nestle_80;1;6;9;7;2;4;6;7;8;4;6;7;6;4;8
12;Ethiquable_70;1;6;8;9;4;6;5;4;6;3;7;8;8;6;2
12;Lindt_78;1;7;4;6;3;7;8;4;1;1;5;4;7;7;4
1;Repere_72;2;7;7;8;1;4;7;7;8;2;2;5;6;5;1
1;Ethiquable_75;2;4;3;6;3;7;7;7;2;3;8;7;3;4;1
1;Lindt_85;2;4;5;1;5;10;4;6;1;7;7;9;5;4;1
1;Lindt_70;2;6;3;2;3;8;5;8;1;7;4;4;6;6;1
1;Nestle_80;2;4;2;3;4;10;3;6;3;7;6;6;8;7;1
1;Nestle_70;2;4;5;4;6;7;6;6;1;4;2;3;6;4;1
1;Repere_85;2;4;6;7;3;6;6;7;2;2;4;4;7;6;5
1;Ethiquable_70;2;2;4;1;7;10;4;6;1;9;6;4;6;4;3
1;Lindt_78;2;5;4;1;5;10;6;5;2;6;7;5;6;7;1
2;Lindt_78;2;6;2;3;4;5;8;2;1;1;2;3;5;3;3
2;Ethiquable_70;2;3;1;5;3;4;6;2;1;1;2;8;2;2;6
2;Repere_85;2;6;3;2;3;4;4;2;1;1;7;6;4;5;3
2;Nestle_70;2;4;1;6;2;2;5;2;1;2;3;3;7;7;2
2;Nestle_80;2;4;1;7;3;3;5;1;9;1;6;4;6;6;4
2;Lindt_70;2;7;2;5;3;5;6;2;1;5;5;5;5;5;4
2;Lindt_85;2;7;1;1;5;8;8;1;1;1;8;8;2;4;5
