abies;acer;alnusfru;alnusund;apiaceae;artemisia;asterund;betunana;betula;brassicaceae;carpinus;chenopodiaceae;corylus;cyperaceae;ephedra;ericaceae;fagus;fraxinus;juniperus;larix;olea;picea;pinushap;pinus;plantago;poaceae;quercusever;quercusdec;salix;tilia;ulmus;tann;biome
0.55;0;0;0;0.27;0.55;0.27;0;0.27;0.82;0;0.27;0.55;46.85;0.27;0;0;0;1.64;0;0.55;0.55;0;35.89;1.37;5.75;0;3.01;0.27;0;0.27;7.07;WAST
3.01;0;0;1.5;0;0.75;3.76;0;0;0.75;3.76;0;2.26;33.83;0;0;0.75;0.75;1.5;0;0;2.26;0;18.05;0;20.3;0;6.02;0.75;0;0;11.406;TEDE
0;0;0;0;3.62;5.8;47.83;0;0;4.35;0.72;27.54;0;2.17;0;0;0;0;0;0;0;2.17;0;1.45;0;2.9;0;1.45;0;0;0;14.605;WAST
0;0.18;0;13.01;0;0;0;0;23.37;0;0.18;0;1.76;0.35;0;36.56;0.18;0;0;0;0;0;0;19.68;0;1.76;0;0.7;1.93;0;0.35;4.4;COMX
0.12;0.24;0;6.18;0.24;3.92;3.44;0;19.36;1.43;0.36;1.54;1.54;1.19;0;0.48;0.36;0;0;0;0;0.24;0;25.42;1.54;25.65;0;5.23;0.59;0.48;0.48;7.919;COMX
0;0;0;0.44;0;0.22;0;0;34.29;0;0;0.22;0;2.21;0;0.44;0;0;0;0;0;0.89;0;60.18;0;0.89;0;0;0.22;0;0;-0.721;COMX
0;0;0;2.35;0;0.59;0.59;0;33.14;0;0;0;0.29;5.87;0;2.35;0;0;0;0;0;4.69;0;46.63;0;2.93;0;0;0.59;0;0;-1.463;COMX
0;0;0;1.5;0;0.86;0.86;0;36.4;0;0;0.43;0;14.99;0;7.92;0;0;0.21;0;0;1.71;0;26.55;0;7.49;0;0;1.07;0;0;-1.586;COMX
0;0;0;1;0;0;0;0;71.91;0;0;0.33;0;4.35;0;2.34;0;0;2.68;0;0;0.67;0;13.71;0;2.34;0;0;0.67;0;0;-2.16;COMX
0;0;0;7.09;0;0.77;0;0;42.84;0;0;0.62;0;7.24;0;1.39;0;0.15;0;0;0;2.16;0;34.21;0.15;2.77;0;0;0.62;0;0;2.164;COMX
