Juge;Produit;Session;O.cacao;O.lait;Sucree;Acide;Amer;A.cacao;A.lait;Caramel;Vanille;Astringence;Croquant;Fondant;Collant;Granuleux;PourCacao
J1;Villars72;S2;5;1;2;2;7;7;2;2;2;1;8;2;1;1;65
J5;Equador72;S2;3;1;4;6;6;5;1;1;1;6;4;2;1;4;70
J12;Lindt85;S2;7;2;6;3;6;8;3;1;1;4;4;3;1;1;65
J2;Lindt85;S2;4;1;2;2;6;6;5;1;1;2;5;5;1;1;60
J11;CoteOr_bio70;S2;6;3;6;7;4;7;3;2;1;3;6;6;3;2;58
J9;CoteOr_bio70;S2;9;1;3;1;6;7;2;1;1;5;7;3;1;1;70
J7;Lindt70;S2;4;3;6;3;3;4;4;1;1;1;7;1;1;3;60
J6;Lindt85;S2;4;1;1;3;9;8;1;1;1;7;7;3;2;1;80
J8;Lindt85;S2;9;1;1;1;9;7;1;1;1;2;7;3;1;1;90
J4;Villars85;S2;8;2;4;6;6;8;1;1;1;3;7;9;3;3;80
J1;Repere_bio85;S2;4;1;1;2;9;5;1;2;3;5;5;1;1;4;70
J3;Repere_bio74;S2;9;1;3;7;9;9;5;6;3;9;4;5;3;4;75
J12;Equador72;S2;9;2;6;4;4;7;3;1;3;1;5;4;1;1;45
J5;CoteOr_bio70;S2;6;1;4;9;7;7;1;1;3;7;3;3;1;2;85
J9;Villars85;S2;8;1;1;1;9;8;1;1;1;9;6;3;1;2;80
J11;Lindt70;S2;8;2;8;5;3;6;3;2;1;3;7;5;4;1;57
J10;Repere_bio85;S2;3;2;3;1;7;7;1;1;3;9;5;9;1;1;80
J7;Lindt85;S2;2;2;1;3;9;5;1;1;1;6;9;1;1;1;70
J2;CoteOr_bio85;S2;4;3;2;2;5;5;7;1;1;2;3;5;2;1;50
J1;Repere_bio74;S2;7;1;2;3;8;7;1;1;1;4;5;1;1;1;68
J8;Lindt78;S2;8;1;2;1;8;9;1;2;1;1;1;7;3;1;80
J6;Villars72;S2;6;1;5;5;6;6;2;3;1;4;5;7;2;2;60
J4;Lindt78;S2;7;1;3;4;7;8;1;1;1;3;9;9;3;1;85
J3;Lindt70;S2;4;7;6;5;8;6;6;5;3;6;7;3;7;1;72
J8;Equador72;S2;6;2;2;1;5;8;2;2;1;1;5;5;2;1;70
J1;Equador72;S2;6;1;1;1;9;9;1;3;3;6;8;1;1;2;80
J5;Repere_bio85;S2;4;1;2;10;8;6;1;1;1;10;4;2;1;4;90
J2;Villars72;S2;3;3;7;2;3;4;6;1;1;2;3;6;2;1;50
J11;Lindt78;S2;5;2;7;4;6;7;2;1;1;2;5;7;5;2;55
J9;Villars72;S2;9;1;7;1;4;7;3;5;1;1;7;4;1;1;60
J12;Villars85;S2;8;2;4;6;7;10;1;1;1;6;5;5;1;1;75
J7;Lindt78;S2;2;2;6;1;8;5;3;6;2;3;6;7;1;1;55
J1;Lindt70;S2;7;1;3;2;7;8;3;2;2;3;9;2;1;1;65
J4;Equador72;S2;5;2;5;2;4;6;1;2;1;3;9;9;3;4;78
J10;CoteOr_bio85;S2;2;1;2;1;7;7;1;1;1;5;6;7;5;2;70
J6;Lindt78;S2;5;1;4;2;5;6;1;6;4;7;2;6;3;1;70
J5;Lindt85;S2;3;1;2;9;8;5;1;1;1;8;3;2;1;2;90
J8;CoteOr_bio70;S2;1;1;3;1;7;7;2;3;2;1;4;6;4;1;65
J2;Repere_bio85;S2;4;3;1;2;9;6;5;1;1;2;3;5;2;2;50
J3;Repere_bio85;S2;10;2;4;5;7;6;4;6;2;9;8;6;8;3;85
J11;Villars85;S2;7;2;5;8;4;7;1;1;1;3;5;6;5;2;50
J9;CoteOr_bio85;S2;9;1;4;1;8;8;1;1;7;6;7;3;1;1;80
J7;Equador72;S2;3;2;4;4;8;5;2;1;2;9;8;1;1;8;70
J1;Lindt78;S2;5;1;1;2;7;8;3;1;1;3;9;1;1;1;80
J12;CoteOr_bio85;S2;9;2;4;5;8;10;1;1;3;4;4;4;3;1;65
J8;Lindt70;S2;6;1;3;1;4;6;2;1;1;1;6;3;2;1;60
J2;CoteOr_bio70;S2;4;5;4;2;5;5;3;1;1;2;3;3;1;1;50
J4;Repere_bio74;S2;9;1;7;2;3;8;1;1;4;4;8;7;3;3;80
J6;Villars85;S2;6;1;3;4;7;8;1;1;2;7;4;5;1;1;60
J1;CoteOr_bio70;S2;4;1;3;1;9;9;2;1;1;6;9;1;1;1;85
J11;CoteOr_bio85;S2;7;4;6;4;7;8;2;1;1;3;6;6;3;2;65
J3;Villars85;S2;7;5;4;7;6;8;4;6;4;7;9;4;7;2;78
J7;Villars72;S2;3;3;4;7;9;6;2;1;1;5;6;1;1;6;70
J5;Villars72;S2;4;2;3;8;6;6;3;4;1;5;3;3;1;4;70
J9;Repere_bio74;S2;9;2;3;1;10;9;1;1;4;9;9;2;1;1;90
J10;Lindt85;S2;2;1;3;2;5;8;2;1;1;5;9;6;5;2;68
J1;Lindt85;S2;6;1;1;1;10;9;1;2;2;6;9;1;1;1;88
J2;Equador72;S2;4;1;5;2;4;7;1;1;1;2;3;5;1;2;70
J8;Repere_bio85;S2;5;1;1;1;7;6;1;3;1;1;5;4;2;2;85
J6;CoteOr_bio70;S2;4;1;2;3;8;8;1;3;2;6;3;5;1;2;75
J12;Lindt78;S2;7;2;7;4;3;8;2;1;1;1;1;7;5;1;45
J4;Lindt85;S2;7;1;3;8;4;7;1;1;1;3;10;2;3;1;85
J11;Lindt85;S2;6;2;7;6;6;7;1;1;1;4;6;6;2;1;68
J2;Villars85;S2;5;2;3;2;4;5;4;1;1;2;2;5;2;1;50
J1;Villars85;S2;8;1;1;1;9;6;1;2;1;6;9;1;1;2;75
J5;Lindt70;S2;4;1;3;8;6;5;3;1;1;6;3;2;1;2;70
J3;Equador72;S2;5;6;7;5;8;9;4;6;2;6;8;2;7;4;65
J7;Villars85;S2;3;4;3;5;7;5;1;2;1;8;7;1;1;9;80
J10;CoteOr_bio70;S2;4;1;7;3;3;5;4;1;2;2;7;7;3;1;60
J6;Repere_bio74;S2;7;1;2;2;7;6;1;7;4;8;7;2;1;3;80
J8;Villars72;S2;8;2;5;1;4;7;3;1;1;1;7;7;2;1;60
J4;CoteOr_bio85;S2;4;1;2;4;7;6;1;1;1;6;7;9;4;1;80
J9;Equador72;S2;8;2;1;1;10;9;1;1;1;9;9;1;1;1;90
J2;Lindt70;S2;4;1;8;2;4;7;3;1;1;2;3;5;1;1;70
J5;CoteOr_bio85;S2;5;2;2;10;8;5;1;1;1;10;3;1;1;2;90
J11;Villars72;S2;7;4;8;3;4;6;4;2;1;2;6;7;2;1;45
J12;Repere_bio85;S2;10;1;6;7;9;9;1;1;1;5;3;5;5;1;70
J7;CoteOr_bio70;S2;5;1;6;1;7;3;1;2;4;8;6;1;1;6;70
J3;Lindt85;S2;5;2;4;4;9;8;3;5;3;8;8;6;8;2;70
J8;Villars85;S2;7;2;1;3;9;9;1;1;1;3;4;5;3;2;85
J4;CoteOr_bio70;S2;8;1;8;4;2;8;1;1;2;3;8;10;3;1;78
J5;Repere_bio74;S2;3;2;2;8;10;4;1;1;3;9;4;4;1;4;85
J9;Lindt70;S2;8;2;5;1;8;8;1;2;8;7;9;1;1;1;80
J11;Equador72;S2;6;4;4;5;8;8;1;1;1;4;5;6;3;3;70
J6;Repere_bio85;S2;6;1;3;2;7;6;1;1;1;6;5;6;1;1;65
J10;Villars72;S2;4;3;6;2;2;5;4;7;3;1;6;8;2;1;60
J12;Repere_bio74;S2;9;2;6;4;9;8;1;1;1;5;5;2;2;1;82
J7;CoteOr_bio85;S2;3;4;2;2;8;5;1;1;3;6;8;1;1;1;80
J8;CoteOr_bio85;S2;8;1;2;2;8;7;2;1;1;1;4;8;2;1;75
J4;Villars72;S2;7;1;4;3;4;7;1;2;1;3;10;8;2;3;75
J5;Lindt78;S2;3;2;4;7;5;6;3;1;1;5;3;4;1;1;65
J9;Repere_bio85;S2;10;1;1;3;10;9;1;1;1;9;9;2;1;5;95
J3;Lindt78;S2;6;6;7;7;8;5;3;6;2;5;5;6;7;1;62
J11;Repere_bio85;S2;7;3;5;6;8;8;1;1;1;5;6;6;4;2;70
J6;CoteOr_bio85;S2;8;1;1;2;8;8;1;4;2;7;4;5;1;1;75
J12;Lindt70;S2;9;1;9;1;1;8;2;1;1;1;5;3;3;1;45
J4;Repere_bio85;S2;9;1;3;6;6;8;1;1;1;4;8;10;3;4;85
J10;Villars85;S2;2;1;5;2;5;8;1;1;1;6;7;7;1;1;77
J9;Lindt85;S2;9;2;3;3;9;9;1;1;1;8;7;3;1;1;90
J3;Villars72;S2;5;7;8;4;3;7;4;5;3;4;6;5;5;3;58
J8;Repere_bio74;S2;5;1;3;1;6;7;2;2;1;1;4;6;1;1;90
J6;Equador72;S2;6;1;1;3;8;7;1;3;3;7;9;3;1;2;70
J10;Lindt78;S2;4;1;7;2;2;4;3;1;1;4;4;9;2;2;69
J12;CoteOr_bio70;S2;9;1;8;6;5;8;1;1;1;6;4;4;4;1;65
J10;Repere_bio74;S2;2;2;4;2;6;6;3;1;1;8;8;7;4;1;73
J10;Lindt70;S2;3;2;6;3;2;6;4;2;1;2;9;8;2;2;63
