position;COD_p90;distance_source;alti;taille_cours_d_eau;region;debit_p10;debit_moy;debit_p90;carb_urb;carb_ind;carb_elev;carb_sols;sup_bv;foret;prairie;culture;urbain;divers;d_pop;d_betail;Ptot_p90;NO3_p90;DBO_p90;NH4_p90;MES_p90;conduct._p90
Amont;6,510194444;5665,5;72,3010025;tres petit;massif_armoricain;0,06684858;0,2372069;0,46094292;0;73,39875793;82,10437012;125,2228546;17,5;0,001542857;0,301771402;0,649142861;0,017314285;0,030399997;0;250,2228775;0,277275;37,96428571;3,359107143;0,383090476;64,88125;797,2535714
Amont;3,820440559;20873;8,111000061;petit;massif_armoricain;0,3376897;1,0350702;2,0869522;63,46199036;0;374,8329468;676,0698853;86,5;0,035826586;0,402208149;0,545387268;0,004624277;0,01215029;55,01734161;231,1108551;0,102769231;39,35581818;1,784818182;0,073335606;87,0993007;248,5916667
Amont;4,987833333;29102,1;14,54199982;petit;massif_armoricain;0,5509013;1,1106226;2,1707942;253,6435242;0;629,4317017;491,7519836;107,75;0,031498838;0,416426897;0,529865444;0,010450115;0,011916474;86,19025421;311,5516357;0,144018333;46,43485714;1,991538462;0,102061429;52,98;270,5384615
Aval;3,56565;93343;4,002999783;moyen;bassin_parisien;6,5532093;9,202344;12,9747;690,0333252;181,1693573;1599,898071;3186,685059;1167;0,118870609;0,5851928;0,267961442;0,010203942;0,017879179;64,95972443;73,11730051;0,137503571;13,80718427;1,81184265;0,065046377;47,80782609;586,0713043
Aval;4,890666667;86154,5;2,046999931;moyen;bassin_parisien;2,7751718;5,7629285;10,752253;640,1530151;98,7240448;1735,470825;2901,269775;1435,530029;0,07499738;0,454852819;0,43287012;0,014629439;0,022755358;51,49108505;64,47684407;0,149468182;35,74619048;1,796558442;0,071109524;60,12217391;684,2148148
Aval;4,915304348;152577,09;-0,150999993;grand;bassin_parisien;4,026422;19,197424;47,614452;1311,974365;132,9242096;3949,517578;10720,95996;2538,51001;0,115717076;0,448775113;0,399950355;0,013236504;0,022454899;62,02260208;82,97817802;0,104618634;29,06393375;1,82931677;0,087712422;23,92701863;444,0274194
Aval;5,727068182;41875,1;17,61100006;petit;bassin_parisien;0,6870588;3,3238978;8,344549;136,6126556;25,64352989;245,0326691;260,654541;133;0,024646619;0,459999949;0,45599252;0,020278197;0,039218042;148,4285736;98,25872397;0,183834921;27,76482143;2,0475;0,111214286;49,18910714;689,8875
Aval;5,272777778;98522,7;5,300000191;grand;massif_armoricain;2,5637789;10,311108;23,34638;668,7931519;145,7531128;2985,601074;5888,041016;1016,530029;0,044016406;0,505633891;0,40359661;0,018253271;0,028658276;88,3062973;156,6427383;0,121110317;28,64222222;1,996666667;0,10915;37,9075;281,7164835
Aval;7,8625;59827;0,294;moyen;bassin_parisien;3,032036;11,488792;21,298353;550,1703491;126,9794312;1851,336182;4532,13916;810;0,05107284;0,494550616;0,410714805;0,01351358;0,030262964;66,30246735;121,8986692;0,12925;10,155;2,0465;0,183155556;21,96131868;415,1714286
Aval;7,172816667;24121,1;2,828000069;tres petit;bassin_parisien;0,3926431;1,5500519;3,1004398;53,16716003;0;273,3069458;574,2994385;100,2600021;0,005156592;0,51882118;0,456203848;0,007340914;0,012557351;47,68601608;145,385705;0,1156;15,57615385;1,922637363;0,129671429;24,43971429;343,7623529
Aval;4,010044444;24775,3;5,919000149;petit;massif_armoricain;0,8538;1,3752353;2,1120005;75,95795441;3,092777252;196,1875916;426,3495483;107;0,158205613;0,392999947;0,419158876;0,006831775;0,022953276;42,59812927;97,78821254;0,100445238;15,252;2,046666667;0,088511111;29,07666667;283,25
Aval;4,921166667;47997,4;11,33100033;petit;massif_armoricain;0,3980214;2,1035397;4,629484;129,3362427;59,76638794;579,3374023;888,0844116;159,5;0,01832602;0,679730296;0,266144186;0,010670845;0,025241379;93,91222382;193,7178917;0,155940909;19,742;2,3925;0,11536;39,18416667;359,8
Aval;4,568089286;76695,5;7,501999855;petit;massif_armoricain;1,5795538;7,530289;17,028982;309,5918884;23,02304077;1881,497925;3769,000244;541,75;0,051782183;0,551924348;0,367230296;0,011385324;0,017790493;47,47577286;185,2266731;0,111472321;22,05390476;1,787232143;0,086533333;29,36571429;246,134127
Aval;4,3066875;48073,3;15,62699986;petit;massif_armoricain;1,972255;6,1753154;12,186354;173,5237579;0,236199021;1045,061157;2610,195313;312,5;0,071433596;0,512047946;0,402044773;0,0072416;0,007372802;37,17760086;178,3571358;0,09048125;30,4325;1,702;0,076640833;42,34375;184,8972826
Aval;4,87225;63372,4;11,71399975;grand;massif_armoricain;2,747039;9,18535;18,657452;347,9644775;126,0237579;3361,5896;4438,470703;771,7700195;0,035247542;0,457265705;0,477802962;0,011524156;0,018298199;45,70791626;232,3033485;0,0795725;35,52291667;1,887708333;0,118216667;32,06141667;262,7590909
